default_code;Nom;Catégorie;Fournisseur;Prix fournisseur;Qté Fournisseur;peut être acheté;peut être vendu;Coût;poids;volume;Format;Type d'article;Référence externe;tag
PFTTF0200401;VANATURAL;All / Fournisseurs / Matières premières / Cooper;COOPER;;;VRAI;;;;;;Article stockable;;Texturants

PFATF0200401;SODIUM HYDROXYDE PASTILLE;All / Fournisseurs / Matières premières / Cooper;COOPER;22,64;;VRAI;;;;;;Article stockable;;Autres

PFATF0200402;ACIDE SALICYLIQUE;All / Fournisseurs / Matières premières / Cooper;COOPER;;;VRAI;;;;;;Article stockable;;Autres

PFATF0200403;CUIVRE SULFATE CRISTALLISE;All / Fournisseurs / Matières premières / Cooper;COOPER;;;VRAI;;;;;;Article stockable;;Autres

PFATF0200404;MAGNESIUM DE SULFATE;All / Fournisseurs / Matières premières / Cooper;COOPER;7,2;;VRAI;;;;;;Article stockable;;Autres

PFATF0200405;PARHYDROXYBENZOATE DE METHYLE ;All / Fournisseurs / Matières premières / Cooper;COOPER;;;VRAI;;;;;;Article stockable;;Autres

PFATF0200406;PARHYDROXYBENZOATE DE PROPYLE;All / Fournisseurs / Matières premières / Cooper;COOPER;;;VRAI;;;;;;Article stockable;;Autres

PFATF0200407;POTASSIUM HYDROXYDE;All / Fournisseurs / Matières premières / Cooper;COOPER;;;VRAI;;;;;;Article stockable;;Autres

PFATF0200408;ZINC SULFATE;All / Fournisseurs / Matières premières / Cooper;COOPER;;;VRAI;;;;;;Article stockable;;Autres

PFATF0200409;CAMPHRE SYNTHETIQUE;All / Fournisseurs / Matières premières / Cooper;COOPER;;;VRAI;;;;;;Article stockable;;Autres

PFATF0200410;SODIUM BORATE;All / Fournisseurs / Matières premières / Cooper;COOPER;;;VRAI;;;;;;Article stockable;;Autres

;;;;;;;;;;;;;;

PFACF0203401;COLLASOL;All / Fournisseurs / Matières premières / Croda;CRODA;20,4;;VRAI;;;;;;Article stockable;;Actifs

;;;;;;;;;;;;;;

PFACF0203501;AA2G;All / Fournisseurs / Matières premières / DKSH;DKSH;550;;VRAI;;;;;;Article stockable;;Actifs

PFATF0203501;POLYLYSINE;All / Fournisseurs / Matières premières / DKSH;DKSH;;;VRAI;;;;;;Article stockable;;Autres

;;;;;;;;;;;;;;

PFATF0203601;ALPHA ARBUTIN;All / Fournisseurs / Matières premières / DSM;DSM;1160;;VRAI;;;;;;Article stockable;;Autres

PFACF0203601;VITAMIN A PALMITATE ;All / Fournisseurs / Matières premières / DSM;DSM;;;VRAI;;;;;;Article stockable;;Actifs

;;;;;;;;;;;;;;

PFHVF0200701;HV AMANDE DOUCE BIO;All / Fournisseurs / Matières premières / Emile Groupe;EMILE GROUPE;21,63;;VRAI;;;;;;Article stockable;;Huiles végétales

PFHVF0200702;HV ARGAN BIO BIDON 5L;All / Fournisseurs / Matières premières / Emile Groupe;EMILE GROUPE;203,54;;VRAI;;;;5L;Bidon;Article stockable;;Huiles végétales

PFHVF0200703;HV CALENDULA ;All / Fournisseurs / Matières premières / Emile Groupe;EMILE GROUPE;33,7;;VRAI;;;;;;Article stockable;;Huiles végétales

PFHVF0200704;HV DE BOURRACHE BIO BIDON 5L;All / Fournisseurs / Matières premières / Emile Groupe;EMILE GROUPE;211,43;;VRAI;;;;5L;Bidon;Article stockable;;Huiles végétales

PFHVF0200705;HV DE NOYAUX D'ABRICOT BIO BIDON 5L;All / Fournisseurs / Matières premières / Emile Groupe;EMILE GROUPE;154,37;;VRAI;;;;5L;Bidon;Article stockable;;Huiles végétales

PFHVF0200706;HV D'ONAGRE BIO BIDON 5L;All / Fournisseurs / Matières premières / Emile Groupe;EMILE GROUPE;169,12;;VRAI;;;;5L;Bidon;Article stockable;;Huiles végétales

PFHVF0200707;HV GERME DE BLE;All / Fournisseurs / Matières premières / Emile Groupe;EMILE GROUPE;25,77;;VRAI;;;;;;Article stockable;;Huiles végétales

PFHVF0200708;HV JOJOBA VIERGE BIO;All / Fournisseurs / Matières premières / Emile Groupe;EMILE GROUPE;26,62;;VRAI;;;;;;Article stockable;;Huiles végétales

PFHVF0200709;HV MACADAMIA Bidon 5 L;All / Fournisseurs / Matières premières / Emile Groupe;EMILE GROUPE;179,13;;VRAI;;;;5L;Bidon;Article stockable;;Huiles végétales

PFHVF0200710;HV NOISETTE BIO BIDON 5L;All / Fournisseurs / Matières premières / Emile Groupe;EMILE GROUPE;97,97;;VRAI;;;;5L;Bidon;Article stockable;;Huiles végétales

PFHVF0200711;HV ONAGRE BIO BIDON 5L;All / Fournisseurs / Matières premières / Emile Groupe;EMILE GROUPE;146,76;;VRAI;;;;5L;Bidon;Article stockable;;Huiles végétales

PFHVF0200712;HV PEPINS DE RAISON BIO BIDON 5 L;All / Fournisseurs / Matières premières / Emile Groupe;EMILE GROUPE;249,31;;VRAI;;;;5L;Bidon;Article stockable;;Huiles végétales

PFHVF0200713;HV TOURNESOL BIO;All / Fournisseurs / Matières premières / Emile Groupe;EMILE GROUPE;4,54;;VRAI;;;;;;Article stockable;;Huiles végétales

PFHVF0200714;HV TOURNESOL VIERGE BIO BIDON 5L;All / Fournisseurs / Matières premières / Emile Groupe;EMILE GROUPE;24,64;;VRAI;;;;5L;Bidon;Article stockable;;Huiles végétales

PFHVF0200715;HV CARTHAME BIO;All / Fournisseurs / Matières premières / Emile Groupe;EMILE GROUPE;9;;VRAI;;;;;;Article stockable;;Huiles végétales

PFHVF0200716;HV EXTRA VIERGE NOISETTE;All / Fournisseurs / Matières premières / Emile Groupe;EMILE GROUPE;26,05;;VRAI;;;;;;Article stockable;;Huiles végétales

;;;;;;;;;;;;;;

PFHEF0200801;HE EUCALYPTUS;All / Fournisseurs / Matières premières / Exaflor;EXAFLOR;30;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0200802;HE EUCALYPTUS GLOBULUS;All / Fournisseurs / Matières premières / Exaflor;EXAFLOR;29,00;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0200803;HE EUCALYPTUS RADIATA;All / Fournisseurs / Matières premières / Exaflor;EXAFLOR;53;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0200804;HE GENIEVRE BAIES BIO (LITRE);All / Fournisseurs / Matières premières / Exaflor;EXAFLOR;333,33;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0200805;HE HELYCHRISE BIO;All / Fournisseurs / Matières premières / Exaflor;EXAFLOR;1650;;VRAI;;;;;;Article stockable;;Huiles essentielles

